"old","new"
"X33.PooledPolysome.NoGlutamine.normalized_counts","PolyRNA.NoGlutamine.Rep3.normCounts"
"X34.PooledPolysome.NoBCAA.normalized_counts","PolyRNA.NoBCAA.Rep3.normCounts"
"X35.PooledPolysome.NoArginine.normalized_counts","PolyRNA.NoArginine.Rep3.normCounts"
"X36.PooledPolysome.NoMethionine.normalized_counts","PolyRNA.NoMethionine.Rep3.normCounts"
"Ctrl_ATF4_1R.raw_counts","DMSO.ATF4.1R.rawCounts"
"Ctrl_ATF4_2.raw_counts","DMSO.ATF4.2.rawCounts"
"Ctrl_ATF4_3.raw_counts","DMSO.ATF4.3.rawCounts"
"Ctrl_CEBPG_1.raw_counts","DMSO.CEBPG.1.rawCounts"
"Ctrl_CEBPG_2.raw_counts","DMSO.CEBPG.2.rawCounts"
"Ctrl_CEBPG_3.raw_counts","DMSO.CEBPG.3.rawCounts"
"Ctrl_Rosa_1.raw_counts","DMSO.Rosa26.1.rawCounts"
"Ctrl_Rosa_2.raw_counts","DMSO.Rosa26.2.rawCounts"
"Ctrl_Rosa_3.raw_counts","DMSO.Rosa26.3.rawCounts"
"Halo_ATF4_1.raw_counts","Halo.ATF4.1.rawCounts"
"Halo_ATF4_2.raw_counts","Halo.ATF4.2.rawCounts"
"Halo_ATF4_3.raw_counts","Halo.ATF4.3.rawCounts"
"Halo_CEBPG_1.raw_counts","Halo.CEBPG.1.rawCounts"
"Halo_CEBPG_2.raw_counts","Halo.CEBPG.2.rawCounts"
"Halo_CEBPG_3.raw_counts","Halo.CEBPG.3.rawCounts"
"Halo_Rosa_1.raw_counts","Halo.Rosa26.1.rawCounts"
"Halo_Rosa_2.raw_counts","Halo.Rosa26.2.rawCounts"
"Halo_Rosa_3.raw_counts","Halo.Rosa26.3.rawCounts"
"IN_4EGi1_r2.raw_counts","TotalRNA.FourEGi1.r2.rawCounts"
"IN_4EGi1_r3.raw_counts","TotalRNA.FourEGi1.r3.rawCounts"
"IN_4EGi1_r4.raw_counts","TotalRNA.FourEGi1.r4.rawCounts"
"IN_DMSO_r1.raw_counts","TotalRNA.DMSO.r1.rawCounts"
"IN_DMSO_r3.raw_counts","TotalRNA.DMSO.r3.rawCounts"
"IN_DMSO_r4.raw_counts","TotalRNA.DMSO.r4.rawCounts"
"IN_Halo_r2.raw_counts","TotalRNA.Halo.r2.rawCounts"
"IN_Halo_r3.raw_counts","TotalRNA.Halo.r3.rawCounts"
"IN_Halo_r4.raw_counts","TotalRNA.Halo.r4.rawCounts"
"IN_Torin_r1.raw_counts","TotalRNA.Torin.r1.rawCounts"
"IN_Torin_r3.raw_counts","TotalRNA.Torin.r3.rawCounts"
"IN_Torin_r4.raw_counts","TotalRNA.Torin.r4.rawCounts"
"PO_4EGi1_r2R.raw_counts","PolyRNA.FourEGi1.r2R.rawCounts"
"PO_4EGi1_r3.raw_counts","PolyRNA.FourEGi1.r3.rawCounts"
"PO_4EGi1_r4.raw_counts","PolyRNA.FourEGi1.r4.rawCounts"
"PO_DMSO_r1.raw_counts","PolyRNA.DMSO.r1.rawCounts"
"PO_DMSO_r3.raw_counts","PolyRNA.DMSO.r3.rawCounts"
"PO_DMSO_r4.raw_counts","PolyRNA.DMSO.r4.rawCounts"
"PO_Halo_r2.raw_counts","PolyRNA.Halo.r2.rawCounts"
"PO_Halo_r3.raw_counts","PolyRNA.Halo.r3.rawCounts"
"PO_Halo_r4.raw_counts","PolyRNA.Halo.r4.rawCounts"
"PO_Torin_r1.raw_counts","PolyRNA.Torin.r1.rawCounts"
"PO_Torin_r3R.raw_counts","PolyRNA.Torin.r3R.rawCounts"
"PO_Torin_r4.raw_counts","PolyRNA.Torin.r4.rawCounts"
"IN_4EGi1_r2.normalized_counts","TotalRNA.FourEGi1.r2.normCounts"
"IN_4EGi1_r3.normalized_counts","TotalRNA.FourEGi1.r3.normCounts"
"IN_4EGi1_r4.normalized_counts","TotalRNA.FourEGi1.r4.normCounts"
"IN_DMSO_r1.normalized_counts","TotalRNA.DMSO.r1.normCounts"
"IN_DMSO_r3.normalized_counts","TotalRNA.DMSO.r3.normCounts"
"IN_DMSO_r4.normalized_counts","TotalRNA.DMSO.r4.normCounts"
"IN_Halo_r2.normalized_counts","TotalRNA.Halo.r2.normCounts"
"IN_Halo_r3.normalized_counts","TotalRNA.Halo.r3.normCounts"
"IN_Halo_r4.normalized_counts","TotalRNA.Halo.r4.normCounts"
"IN_Torin_r1.normalized_counts","TotalRNA.Torin.r1.normCounts"
"IN_Torin_r3.normalized_counts","TotalRNA.Torin.r3.normCounts"
"IN_Torin_r4.normalized_counts","TotalRNA.Torin.r4.normCounts"
"PO_4EGi1_r2R.normalized_counts","PolyRNA.FourEGi1.r2R.normCounts"
"PO_4EGi1_r3.normalized_counts","PolyRNA.FourEGi1.r3.normCounts"
"PO_4EGi1_r4.normalized_counts","PolyRNA.FourEGi1.r4.normCounts"
"PO_DMSO_r1.normalized_counts","PolyRNA.DMSO.r1.normCounts"
"PO_DMSO_r3.normalized_counts","PolyRNA.DMSO.r3.normCounts"
"PO_DMSO_r4.normalized_counts","PolyRNA.DMSO.r4.normCounts"
"PO_Halo_r2.normalized_counts","PolyRNA.Halo.r2.normCounts"
"PO_Halo_r3.normalized_counts","PolyRNA.Halo.r3.normCounts"
"PO_Halo_r4.normalized_counts","PolyRNA.Halo.r4.normCounts"
"PO_Torin_r1.normalized_counts","PolyRNA.Torin.r1.normCounts"
"PO_Torin_r3R.normalized_counts","PolyRNA.Torin.r3R.normCounts"
"PO_Torin_r4.normalized_counts","PolyRNA.Torin.r4.normCounts"
"Ctrl_ATF4_1R.normalized_counts","DMSO.ATF4.1R.normCounts"
"Ctrl_ATF4_2.normalized_counts","DMSO.ATF4.2.normCounts"
